Month,House Price Index
2003-04-01,130.884
2003-05-01,131.734
2003-06-01,132.649
2003-07-01,133.77700000000002
2003-08-01,134.969
2003-09-01,136.29399999999998
2003-10-01,137.532
2003-11-01,138.79399999999998
2003-12-01,140.179
2004-01-01,141.64600000000002
2004-02-01,143.192
2004-03-01,145.059
2004-04-01,146.593
2004-05-01,148.186
2004-06-01,149.85
2004-07-01,151.338
2004-08-01,152.63299999999998
2004-09-01,154.179
2004-10-01,155.75
2004-11-01,157.52700000000002
2004-12-01,159.33
2005-01-01,161.28799999999998
2005-02-01,163.344
2005-03-01,165.812
2005-04-01,167.50099999999998
2005-05-01,169.351
2005-06-01,171.19
2005-07-01,172.86
2005-08-01,174.442
2005-09-01,176.438
2005-10-01,178.028
2005-11-01,179.68
2005-12-01,180.91
2006-01-01,182.321
2006-02-01,183.287
2006-03-01,184.364
2006-04-01,184.329
2006-05-01,184.15599999999998
2006-06-01,183.507
2006-07-01,183.06799999999998
2006-08-01,182.59400000000002
2006-09-01,182.798
2006-10-01,183.19799999999998
2006-11-01,183.609
2006-12-01,184.139
2007-01-01,184.517
2007-02-01,184.59799999999998
2007-03-01,184.15
2007-04-01,183.01
2007-05-01,181.6
2007-06-01,180.25400000000002
2007-07-01,179.111
2007-08-01,178.11599999999999
2007-09-01,177.558
2007-10-01,176.62400000000002
2007-11-01,175.14700000000002
2007-12-01,174.342
2008-01-01,173.132
2008-02-01,171.541
2008-03-01,170.053
2008-04-01,168.338
2008-05-01,166.65900000000002
2008-06-01,165.017
2008-07-01,163.566
2008-08-01,161.987
2008-09-01,160.308
2008-10-01,158.327
2008-11-01,156.142
2008-12-01,153.619
2009-01-01,151.507
2009-02-01,150.015
2009-03-01,148.66
2009-04-01,147.94899999999998
2009-05-01,147.694
2009-06-01,148.09
2009-07-01,148.41
2009-08-01,148.278
2009-09-01,148.025
2009-10-01,147.85
2009-11-01,148.134
2009-12-01,147.929
2010-01-01,147.39600000000002
2010-02-01,145.631
2010-03-01,145.859
2010-04-01,146.403
2010-05-01,146.394
2010-06-01,145.721
2010-07-01,144.991
2010-08-01,143.916
2010-09-01,143.019
2010-10-01,142.531
2010-11-01,142.173
2010-12-01,142.06
2011-01-01,141.52100000000002
2011-02-01,140.35
2011-03-01,139.981
2011-04-01,140.01
2011-05-01,139.905
2011-06-01,139.862
2011-07-01,139.73
2011-08-01,139.309
2011-09-01,138.668
2011-10-01,137.952
2011-11-01,137.15200000000002
2011-12-01,136.674
2012-01-01,136.607
2012-02-01,136.533
2012-03-01,137.904
2012-04-01,139.154
2012-05-01,140.155
2012-06-01,141.029
2012-07-01,141.66899999999998
2012-08-01,142.279
2012-09-01,142.908
2012-10-01,143.6
2012-11-01,144.585
2012-12-01,145.503
2013-01-01,146.827
2013-02-01,147.785
2013-03-01,149.963
2013-04-01,151.519
2013-05-01,152.85
2013-06-01,154.19899999999998
2013-07-01,155.60399999999998
2013-08-01,156.965
2013-09-01,158.227
2013-10-01,159.24200000000002
2013-11-01,160.075
2013-12-01,160.994
2014-01-01,161.92700000000002
2014-02-01,162.525
2014-03-01,163.086
2014-04-01,163.393
2014-05-01,163.66
2014-06-01,164.062
2014-07-01,164.578
2014-08-01,165.215
2014-09-01,165.905
2014-10-01,166.642
2014-11-01,167.335
2014-12-01,168.051
2015-01-01,168.63400000000001
2015-02-01,169.13
2015-03-01,169.8
2015-04-01,170.298
2015-05-01,170.88099999999997
2015-06-01,171.468
2015-07-01,172.13099999999997
2015-08-01,172.93599999999998
2015-09-01,173.828
2015-10-01,174.792
2015-11-01,175.738
2015-12-01,176.545
2016-01-01,177.273
2016-02-01,177.649
2016-03-01,178.165
2016-04-01,178.767
2016-05-01,179.43
2016-06-01,180.08
2016-07-01,180.832
2016-08-01,181.852
2016-09-01,182.824
2016-10-01,183.752
2016-11-01,184.76
2016-12-01,185.725
2017-01-01,186.801
2017-02-01,187.312
2017-03-01,187.99099999999999
2017-04-01,188.72400000000002
2017-05-01,189.61700000000002
2017-06-01,190.51
2017-07-01,191.451
2017-08-01,192.667
2017-09-01,193.763
2017-10-01,194.81099999999998
2017-11-01,195.96200000000002
2017-12-01,197.176
2018-01-01,198.303
2018-02-01,199.217
2018-03-01,199.954
2018-04-01,200.65400000000002
2018-05-01,201.428
2018-06-01,202.238
2018-07-01,202.912
2018-08-01,203.697
2018-09-01,204.365
2018-10-01,205.138
2018-11-01,205.685
2018-12-01,206.16099999999997
2019-01-01,206.517
2019-02-01,206.817
2019-03-01,207.024
2019-04-01,207.50599999999997
2019-05-01,208.148
2019-06-01,208.67
2019-07-01,209.27700000000002
2019-08-01,210.12
2019-09-01,210.93400000000003
2019-10-01,211.84400000000002
2019-11-01,212.817
2019-12-01,213.938
2020-01-01,214.954
2020-02-01,215.773
2020-03-01,216.317
2020-04-01,216.803
2020-05-01,217.00900000000001
2020-06-01,217.65599999999998
2020-07-01,219.352
2020-08-01,222.449
2020-09-01,225.885
2020-10-01,229.84
2020-11-01,233.25400000000002
2020-12-01,236.49099999999999
2021-01-01,239.497
2021-02-01,242.215
2021-03-01,245.31900000000002
2021-04-01,249.063
2021-05-01,253.465
2021-06-01,258.42900000000003
2021-07-01,262.763
2021-08-01,266.955
2021-09-01,270.447
2021-10-01,273.855
2021-11-01,277.28
2021-12-01,281.348
2022-01-01,285.829
2022-02-01,290.92400000000004
2022-03-01,296.228
2022-04-01,300.569
2022-05-01,303.863
2022-06-01,304.832
2022-07-01,303.8
2022-08-01,301.637
2022-09-01,299.44
2022-10-01,299.033
2022-11-01,298.35
2022-12-01,297.425
2023-01-01,296.922
2023-02-01,297.27299999999997
2023-03-01,298.39599999999996
2023-04-01,300.20799999999997
